1997	370680		
1998	385200		
1999	409540		
2000	608760		
2001	486760		
2002	575120		
2003	538730		
2004	531870		
2005	531410		
2006	513500		
2007	504630		
2008	505540		
2009	486170		
2010	457840		
2011	475760		
2012	470970		
2013	444290		
2014	478870		
2015	490840		
2016	486880		
2017	437350		
2018	465330		
2019	383190		
2020	454550		
